region_id,region_name,country,state_province,city_hub,avg_transit_time_days,infrastructure_index,economic_impact_score,seasonal_risk_factor
REG001,North India,India,Uttar Pradesh,Noida,2.8,7,9,1.3
REG002,West India,India,Maharashtra,Pune,1.5,9,8,1.1
REG003,South India,India,Karnataka,Bengaluru,1.2,9,7,1.05
REG004,East India,India,West Bengal,Kolkata,2.3,6,6,1.2
REG005,Central India,India,Madhya Pradesh,Indore,3.5,5,5,1.15
REG006,North-East India,India,Assam,Guwahati,4.0,4,4,1.4
REG007,South-East Asia,Singapore,NA,Singapore,0.8,10,10,1.0
REG008,Middle East,UAE,Dubai,Dubai,1.0,9,9,1.0
REG009,North America,USA,California,Los Angeles,2.0,8,9,1.05
REG010,Europe,Germany,Bavaria,Munich,1.5,9,8,1.0
